region_id,시도명,시군구명,행정동명,display_name,가격_기준월,생활인구_기준월,안전_기준일자,상권_기준일자,안심시설수,안심시설수_상대수준,유흥시설수,유흥시설수_상대수준,업종수,업종수_상대수준,사업체수,사업체수_상대수준,생활인구,생활인구_상대수준,실거래가,실거래가_서울평균대비율,실거래가_서울평균이하여부,전세가,전세가_서울평균대비율,전세가_서울평균이하여부,거래량,거래량_해석주의,안전_데이터여부,상권_데이터여부,생활인구_데이터여부,가격_데이터여부,안전_매칭지표수,편의_매칭지표수,가격_매칭지표수,인구_매칭지표수
1168066000,서울특별시,강남구,개포1동,강남구 개포1동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,0,상대적으로낮음,0,상대적으로낮음,47,상대적으로낮음,192,상대적으로낮음,24920.06,보통,52535.03,106.59,False,70486.91,57.25,False,63.2,False,True,True,True,True,0,0,0,0
1168067000,서울특별시,강남구,개포2동,강남구 개포2동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,0,상대적으로낮음,0,상대적으로낮음,76,보통,933,보통,29154.2,보통,53015.66,108.48,False,72416.4,61.56,False,102.8,False,True,True,True,True,0,0,0,0
1168067500,서울특별시,강남구,개포3동,강남구 개포3동,2026-01,,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,0,상대적으로낮음,0,상대적으로낮음,0,상대적으로낮음,0,상대적으로낮음,,데이터없음,10666.67,-68.58,True,,,,0.6,True,True,True,False,True,0,0,1,0
1168069000,서울특별시,강남구,개포4동,강남구 개포4동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,24,보통,3,보통,92,상대적으로높음,1418,보통,15552.41,보통,52535.03,106.59,False,70486.91,57.25,False,63.2,False,True,True,True,True,0,1,0,0
1168052100,서울특별시,강남구,논현1동,강남구 논현1동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,87,상대적으로높음,30,상대적으로높음,100,상대적으로높음,4191,상대적으로높음,37942.11,상대적으로높음,27145.53,6.75,False,64656.65,44.25,False,87.5,False,True,True,True,True,1,2,0,1
1168053100,서울특별시,강남구,논현2동,강남구 논현2동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,153,상대적으로높음,45,상대적으로높음,94,상대적으로높음,4465,상대적으로높음,44687.0,상대적으로높음,27145.53,6.75,False,64656.65,44.25,False,87.5,False,True,True,True,True,1,2,0,1
1168060000,서울특별시,강남구,대치1동,강남구 대치1동,2026-01,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,0,상대적으로낮음,2,보통,73,상대적으로낮음,1035,보통,29129.95,보통,10666.67,-68.58,True,,,,0.6,True,True,True,True,True,0,0,1,0
1168061000,서울특별시,강남구,대치2동,강남구 대치2동,2026-01,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,27,보통,4,보통,93,상대적으로높음,2868,상대적으로높음,48382.58,상대적으로높음,10666.67,-68.58,True,,,,0.6,True,True,True,True,True,0,2,1,1
1168063000,서울특별시,강남구,대치4동,강남구 대치4동,2026-01,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,26,보통,9,보통,96,상대적으로높음,3777,상대적으로높음,39785.99,상대적으로높음,10666.67,-68.58,True,,,,0.6,True,True,True,True,True,0,2,1,1
1168065500,서울특별시,강남구,도곡1동,강남구 도곡1동,2025-12,2026-05,안심시설수 2023-04-21; 유흥시설수 2026-06-17,20254,23,보통,2,보통,88,보통,1334,보통,43673.78,상대적으로높음,77874.88,206.23,False,115251.99,157.12,False,99.5,False,True,True,True,True,0,0,0,1
